Event;Year;Location;Division;Name;Country;Place
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Grand Masters;Andre Malherbe;USA;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Kahunas;Tom Curren;USA;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Kahunas;Jim Hogan;USA;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Kahunas;David Malherbe;ZAF;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Kahunas;David Husadel;BRA;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Grand Kahunas;Craig Schieber;CRI;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Grand Kahunas;Chris Knutsen;ZAF;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Grand Kahunas;Nick Pearson;AUS;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Grand Kahunas;Allen Sarlo;USA;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Team;USA;USA;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Team;Brazil;BRA;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Team;South Africa;ZAF;
ISA World Masters Surfing Championship;2011;Punta Roca, El Salvador;Team;Puerto Rico;PRI;
ISA World Tandem Surfing Championship;2011;San Diego, CA, USA;Team;Clement Certran & Dhelia Birou;FRA;
ISA World Tandem Surfing Championship;2011;San Diego, CA, USA;Team;Rico Leroy & Sarah Burel;FRA;
ISA World Tandem Surfing Championship;2011;San Diego, CA, USA;Team;Brian & Hana McEvilly;USA;
ISA World Tandem Surfing Championship;2011;San Diego, CA, USA;Team;Kalani Vierra & Kathy Terada;HAW;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Team;Peru;PER;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Team;Australia;AUS;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Team;South Africa;ZAF;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Team;Brazil;BRA;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Men;Hira Teriinatoofa;TAH;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Men;Gabriel Villaran;PER;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Men;Alan Jones;BRA;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Men;Mick Campbell;AUS;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Women;Chelsea Hodges;AUS;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Women;Paige Hareb;NZL;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Women;Sofia Mulanovich;PER;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Women;Pauline Ado;FRA;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Longboard;Rodrigo Sphyer;BRA;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Longboard;Josh Constable;AUS;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Longboard;Harley Ingleby;PER;
ISA World Surfing Games;2010;Punta Hermosa, Lima, Peru;Open Longboard;Benoit Clemente;PER;
ISA World Tandem Surfing Championship;2010;Lacanau, France;Team;Clement Certran & Dhelia Birou;FRA;
ISA World Tandem Surfing Championship;2010;Lacanau, France;Team;Rico Leroy & Sarah Burel;FRA;
ISA World Tandem Surfing Championship;2010;Lacanau, France;Team;Brian & Hana McEvilly;USA;
ISA World Tandem Surfing Championship;2010;Lacanau, France;Team;Chuck Inman & Tiffany Rabacal;HAW;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Masters;Andrew Banks;ZAF;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Masters;Brett Bannister;AUS;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Masters;Dean Hall;AUS;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Masters;Juan Ashton;PRI;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Women Masters;Heather Clark;ZAF;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Women Masters;Andreas Lopes;BRA;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Women Masters;Patricia Rossi;TAH;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Women Masters;Sandra GBRlish;AUS;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Masters;Juan Ashton;PRI;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Masters;Glen Pringle;AUS;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Masters;Andre Malherbe;ZAF;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Masters;Ricardo Villanueva;PRI;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Kahunas;Rob Baldwin;AUS;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Kahunas;Sergio Penna;BRA;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Kahunas;David Malherbe;ZAF;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Kahunas;Martin Jeri;PER;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Kahunas;Chris Knutsen;ZAF;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Kahunas;Javier Huarcaya;PER;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Kahunas;Kenneth Mayer;PAN;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Grand Kahunas;Javier Gorbea;PRI;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Team;Australia;AUS;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Team;South Africa;ZAF;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Team;Brazil;BRA;
ISA World Masters Surfing Championship;2010;Santa Catalina, Panama;Team;Puerto Rico;PRI;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Team;Australia;AUS;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Team;USA;USA;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Team;South Africa;ZAF;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U18;Gabriel Medina;BRA;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U18;Jordin Watson;AUS;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U18;Mc Comb Tamarao;TAH;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U18;Beyrick de Vries;ZAF;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Girls U18;Tyler Wright;AUS;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Girls U18;Alessa Quizon;HAW;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Girls U18;Sarah Baum;ZAF;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Girls U18;Lakey Peterson;USA;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U16;Matt Banting;AUS;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U16;Jake Halstead;USA;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U16;Koa Smith;HAW;
ISA World Junior Surfing Championship;2010;Piha Beach, New Zealand;Boys U16;Hiroto Arai;JPN;
ISA World Tandem Surfing Championship;2010;Kauai, Hawaii;Team;Mark Gale & Debbie Gale;USA;
ISA World Tandem Surfing Championship;2010;Kauai, Hawaii;Team;Charlie Christensen & Myra Burg;USA;
ISA World Tandem Surfing Championship;2010;Kauai, Hawaii;Team;Lance Maki & Jaci Remrey;USA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Team;USA;USA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Team;France;FRA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Team;Australia;AUS;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Team;Hawaii;HAW;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Men;Jeremy Flores;FRA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Men;Cory Lopez;USA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Men;Gabriel Villaran;PER;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Men;Ben Bourgeois;USA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Women;Courtney Conlogue;USA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Women;Rosanne Hodge;ZAF;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Women;Sage Ericson;USA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Women;Pauline Ado;FRA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Longboard;Antoine Delpero;FRA;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Longboard;Harley Ingleby;AUS;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Longboard;Ben Skinner;GBR;
ISA World Surfing Games;2009;Playa Hermosa, Costa Rica;Open Longboard;Tony Silvagni;USA;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Team;Australia;AUS;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Team;Brazil;BRA;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Team;USA;USA;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U18;Dean Bowen;AUS;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U18;Miguel Pupo;BRA;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U18;Maxime Huscenot;FRA;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U18;Dylan Goodale;HAW;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Girls U18;Tyler Wright;AUS;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Girls U18;Courtney Conlogue;USA;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Girls U18;Alessa Quizon;HAW;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Girls U18;Laura Enever;AUS;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U16;Keanu Asing;HAW;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U16;Gabriel Medina;BRA;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U16;David Brand;ZAF;
ISA World Junior Surfing Championship;2009;Salinas, Ecuador;Boys U16;Jesse Mendes;BRA;
ISA World Tandem Surfing Championship;2008;Waikiki, Hawaii;Team;Bear Woznick & Krystl Apeles;HAW;
ISA World Tandem Surfing Championship;2008;Waikiki, Hawaii;Team;Mark Gale & Debbie Gale;USA;
ISA World Tandem Surfing Championship;2008;Waikiki, Hawaii;Team;Luis Mejia & Asia Carpenter;USA;
ISA World Tandem Surfing Championship;2008;Waikiki, Hawaii;Team;Charlie Christensen & Myra Burg;USA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Team;Australia;AUS;
ISA World Surfing Games;2008;Caparica, PRTtugal;Team;USA;USA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Team;Brazil;BRA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Team;France;FRA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Men;CJ Hobgood;USA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Men;Heath Joske;AUS;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Men;Dayyan Neve;AUS;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Men;Kay Otton;AUS;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Women;Sally Fitzgibbons;AUS;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Women;Marie Dejean;FRA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Women;Camila Cassia;BRA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Women;Lauren Sweeney;USA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Men;Marcus Lima;BRA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Men;Manuel Centeno;PRT;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Men;Hugo Pinheiro;PRT;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Men;David Lee;ZAF;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Women;Natasha Sagardia;PRI;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Women;Heloise Bourroux;FRA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Women;Rita Pires;PRT;
ISA World Surfing Games;2008;Caparica, PRTtugal;Bodyboard Women;Lilly Pollard;AUS;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Longboard;Matthew Moir;ZAF;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Longboard;Harley Ingleby;AUS;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Longboard;Taylor Jensen;USA;
ISA World Surfing Games;2008;Caparica, PRTtugal;Open Longboard;Phil Rajzman;BRA;
ISA World Junior Surfing Championship;2008;southwest coast, France;Team;Australia;AUS;
ISA World Junior Surfing Championship;2008;southwest coast, France;Team;Brazil;BRA;
ISA World Junior Surfing Championship;2008;southwest coast, France;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2008;southwest coast, France;Team;USA;USA;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U18;Alejo Muniz;BRA;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U18;Owen Wright;AUS;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U18;Tyler Newton;HAW;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U18;Marc Lacomare;FRA;
ISA World Junior Surfing Championship;2008;southwest coast, France;Girls U18;Laura Enever;AUS;
ISA World Junior Surfing Championship;2008;southwest coast, France;Girls U18;Tyler Wright;AUS;
ISA World Junior Surfing Championship;2008;southwest coast, France;Girls U18;Courtney Conlogue;USA;
ISA World Junior Surfing Championship;2008;southwest coast, France;Girls U18;Airini Mason;NZL;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U16;Tamaroa McComb;TAH;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U16;Peterson Crisanto;BRA;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U16;Matty Costa;HAW;
ISA World Junior Surfing Championship;2008;southwest coast, France;Boys U16;Ian Fontaine;FRA;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Masters;Juan Ashton;PRI;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Masters;Ricardo Toledo;BRA;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Masters;Rob Page;AUS;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Masters;Jay Sharpe;AUS;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Women Masters;Heather Clark;ZAF;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Women Masters;Rocío Larrañaga;PER;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Women Masters;Sandra GBRlish;AUS;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Women Masters;Brigitte Mayer;BRA;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Masters;Rob Page;AUS;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Masters;Magoo de la Rosa;PER;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Masters;Jojó de Olivença;BRA;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Masters;Andre Malherbe;ZAF;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Kahunas;Marc Wright;ZAF;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Kahunas;Nick Pike;ZAF;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Kahunas;Jorge Posso;PER;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Kahunas;Rod Baldwin;AUS;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Kahunas;Chris Knutsen;ZAF;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Kahunas;Paco del Castillo;PER;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Kahunas;Frank Hayter;AUS;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Grand Kahunas;Rene Gonzalez;PRI;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Team;South Africa;ZAF;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Team;Australia;AUS;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Team;Brazil;BRA;
ISA World Masters Surfing Championship;2008;Punta Rocas, Peru;Team;Peru;PER;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Team;Australia;AUS;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Team;Brazil;BRA;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Team;New Zealand;NZL;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U18;Jadson Andre;BRA;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U18;Chris Friend;AUS;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U18;Charlie Brown;BRA;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U18;Corry Arrambide;USA;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Girls U18;Sally Fitzgibbons;AUS;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Girls U18;Laura Enever;AUS;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Girls U18;Sage Ericson;USA;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Girls U18;Paige Hareb;NZL;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U16;Garrett Parkes;AUS;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U16;Tamaroa Mc Comb;TAH;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U16;Matt Hewitt;NZL;
ISA World Junior Surfing Championship;2007;Caparica - PRTtugal;Boys U16;Davey Cathels;AUS;
ISA World Tandem Surfing Championship;2007;Kauai, Hawaii;Team;Bear Woznick & Krystl Apeles;HAW;
ISA World Tandem Surfing Championship;2007;Kauai, Hawaii;Team;Charlie Christensen & Myra Burg;USA;
ISA World Tandem Surfing Championship;2007;Kauai, Hawaii;Team;Mark Gale & Debbie Gale;USA;
ISA World Tandem Surfing Championship;2007;Kauai, Hawaii;Team;Luis Mejia & Asia Carpenter;USA;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Masters;Juan Ashton;PRI;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Masters;Heifara Tahutini;TAH;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Masters;Wagner Pupo;BRA;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Masters;John Mc Carthy;ZAF;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Grand Masters;Magoo de la Rosa;PER;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Grand Masters;Heinere Paez;TAH;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Grand Masters;Alberto Licha;PRI;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Grand Masters;David Malherbe;ZAF;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Kahunas;Chris Knutsen;ZAF;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Kahunas;Javier Huarcaya;PER;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Kahunas;Gilles Asenjo;FRA;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Kahunas;Rudi Palmboom;ZAF;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Tag Team;South Africa;ZAF;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Tag Team;Puerto Rico;PRI;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Tag Team;France;FRA;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Tag Team;United Kingdom;GBR;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Team;South Africa;ZAF;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Team;Puerto Rico;PRI;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Team;Tahiti;TAH;
ISA World Masters Surfing Championship;2007;Rincón, Puerto Rico;Team;Peru;PER;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Team;Australia;AUS;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Team;International;X;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Team;USA;USA;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Team;New Zealand;NZL;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Women;Jodie Winter;UK;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Women;Natlie Silverthorn;UK;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Women;Kiya Kelly;CAN;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Women;Laura Rodriguez;USA;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Men;Gavin Colman;AUS;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Men;Barry Baker;USA;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Men;Matt Gallagher;AUS;
ISA World Kneeboard Championship;2007;Santa Cruz, CA;Open Men;BaDNK Smith;AUS;
ISA World Surfing Games;2006;Huntington Beach, CA;Team;Australia;AUS;
ISA World Surfing Games;2006;Huntington Beach, CA;Team;Brazil;BRA;
ISA World Surfing Games;2006;Huntington Beach, CA;Team;USA;USA;
ISA World Surfing Games;2006;Huntington Beach, CA;Team;South Africa;ZAF;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Men;Jordy Smith;ZAF;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Men;Luke Stedman;AUS;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Men;Pat O'Connell;USA;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Men;Armando Daltro;BRA;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Women;Julia Christian;USA;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Women;Jacqueline Silva;BRA;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Women;Rosanne Hodge;ZAF;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Women;Courtney Conlogue;USA;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Men;Manuel Centeno;PRT;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Men;Hugo Pinheiro;PRT;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Men;Andrew Lester;AUS;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Men;Alvaro Padron;ESP;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Women;Kira Llewellyn;AUS;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Women;Neymara Carvalho;BRA;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Women;Natasha Sagardia;PRI;
ISA World Surfing Games;2006;Huntington Beach, CA;Bodyboard Women;Heloise Bourroux;FRA;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Longboard;Matthew Moir;ZAF;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Longboard;Benjamin Skinner;GBR;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Longboard;Harley Ingleby;AUS;
ISA World Surfing Games;2006;Huntington Beach, CA;Open Longboard;Bonga Perkins;HAW;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Team;Australia;AUS;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Team;France;FRA;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Team;Brazil;BRA;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U18;Julian Wilson;AUS;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U18;Jordy Smith;ZAF;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U18;Caleb R-Boquist;AUS;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U18;Jeremy Flores;FRA;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Girls U18;Pauline Ado;FRA;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Girls U18;Sally Fitzgibbons;AUS;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Girls U18;Diana Souza;BRA;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Girls U18;Airini Manson;NZL;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U16;Owen Wright;AUS;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U16;Alejo Muniz;BRA;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U16;Shaun Joubert;ZAF;
ISA World Junior Surfing Championship;2006;Maresias, Brazil;Boys U16;Marc Lacomare;FRA;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Team;Brazil;BRA;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Team;USA;USA;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Team;Australia;AUS;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U18;Jefferson Silva;BRA;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U18;Tanner Gudauskas;USA;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U18;Thomas Hermes;BRA;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U18;Jordy Smith;ZAF;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Girls U18;Stephanie Gilmore;AUS;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Girls U18;Karina Petroni;USA;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Girls U18;Carissa Moore;HAW;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Girls U18;Lani Hunter;HAW;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U16;Tonino Benson;HAW;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U16;Clay Marzo;HAW;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U16;David Delroy Carr;AUS;
ISA World Junior Surfing Championship;2005;Huntington Beach, CA;Boys U16;Wiggolly Dantas;BRA;
ISA World Junior Surfing Championship;2004;Papenoo, Tahiti;Team;Australia;AUS;
ISA World Junior Surfing Championship;2004;Papenoo, Tahiti;Team;USA;USA;
ISA World Junior Surfing Championship;2004;Papenoo, Tahiti;Team;Brazil;BRA;
ISA World Junior Surfing Championship;2004;Papenoo, Tahiti;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2004;Papenoo, Tahiti;Boys U18;James Wood;AUS;
ISA World Junior Surfing Championship;2004;Papenoo, Tahiti;Boys U18;Jeremy Johnston;USA;
