Event;Year;Location;Division;Name;Country;Place
ISA World Para Surfing Championship;2024;Huntington Beach, CA;Team;Spain;ESP;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 3;Zoe Smith;GBR;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 3;Charlotte Banfield;GBR;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 3;Mireia Cabanes;ESP;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 3;Stella Papetti;ITA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Sit;Guillaume Colin;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Sit;Chris Oberle;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Sit;Jeff Munson;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Sit;Juan Manuel Camacho Solano;CRI;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U18;Ryan Kainalo;BRA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U18;Francisco Ordonhas;PRT;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U18;Kai Odriozola;ESP;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U18;Tenshi Iwami;JPN;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U18;Anon Matsuoka;JPN;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U18;Kohai Fierro;TAH;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U18;Candelaria Resano;NCA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U18;Zoe Chait;USA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U16;Hans Odriozola;ESP;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U16;Lukas Skinner;GBR;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U16;Guilherme Lemos;BRA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Boys U16;Ryan Coelho;BRA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U16;Sierra Kerr;AUS;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U16;Lanea Mons;USA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U16;EDNK Walla;USA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Girls U16;Clémence Schorsch;FRA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Team;Brazil;BRA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Team;USA;USA;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Team;Japan;JPN;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;Team;Australia;AUS;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;ISA Aloha Cup;Japan;JPN;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;ISA Aloha Cup;Hawaii;HAW;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;ISA Aloha Cup;Spain;ESP;
ISA World Junior Surfing Championship;2023;Macumba,Rio do Janeiro, Brazil;ISA Aloha Cup;Australia;AUS;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Team;France;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Team;Spain;ESP;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Team;Japan;JPN;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Team;Italy;ITA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Men;Max Torres;PRI;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Men;Wes Fry;AUS;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Men;Benoit Carpentier;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Men;Kai Bates;AUS;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Women;Lucia Cosoleto;ARG;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Women;Aline Adisaka;BRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Women;Billie Scott;NZL;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;SUP Surf Women;Justine Dupont;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Men;Shuri Araki;JPN;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Men;Noic Garioud;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Men;Rai Taguchi;JPN;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Men;Titouan Puyo;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Women;Esperanza Barreras;ESP;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Women;Melanie Lafenetre;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Women;Mariecarmen Rivera;PRI;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Tech Race SUP Women;Alba Frey;ESP;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Men;Noic Garioud;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Men;Ollie Houghton;NZL;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Men;Claudio Nika;ITA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Men;Aaron Sanchez;ESP;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Women;Melanie Lafenetre;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Women;Mariecarmen Rivera;PRI;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Women;Tarryn King;ZAF;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Sprint SUP Race Women;Cecilia Pampinella;ITA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Distance Race SUP Men;Shuri Araki;JPN;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Distance Race SUP Men;Titouan Puyo;FRA;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Distance Race SUP Men;Rai Taguchi;JPN;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Distance Race SUP Men;Aaron Sanchez;ESP;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Distance Race SUP Women;Esperanza Barreras;ESP;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Distance Race SUP Women;Duna Gordillo;ESP;
ISA World SUP And Paddleboard Championship;2023;Sables D'Olonnes, France;Distance Race SUP Women;Mariecarmen Rivera;PRI;
